Setor,Região,Impacto
Tecnologia,América do Norte,64.97
Tecnologia,América do Norte,58.62
Tecnologia,América do Norte,66.48
Tecnologia,América do Norte,75.23
Tecnologia,América do Norte,57.66
Tecnologia,América do Norte,57.66
Tecnologia,América do Norte,75.79
Tecnologia,América do Norte,67.67
Tecnologia,América do Norte,55.31
Tecnologia,América do Norte,65.43
Tecnologia,América do Norte,55.37
Tecnologia,América do Norte,55.34
Tecnologia,América do Norte,62.42
Tecnologia,América do Norte,40.87
Tecnologia,América do Norte,42.75
Tecnologia,América do Norte,54.38
Tecnologia,América do Norte,49.87
Tecnologia,América do Norte,63.14
Tecnologia,América do Norte,50.92
Tecnologia,América do Norte,45.88
Tecnologia,Europa,74.66
Tecnologia,Europa,57.74
Tecnologia,Europa,60.68
Tecnologia,Europa,45.75
Tecnologia,Europa,54.56
Tecnologia,Europa,61.11
Tecnologia,Europa,48.49
Tecnologia,Europa,63.76
Tecnologia,Europa,53.99
Tecnologia,Europa,57.08
Tecnologia,Europa,53.98
Tecnologia,Europa,78.52
Tecnologia,Europa,59.87
Tecnologia,Europa,49.42
Tecnologia,Europa,68.23
Tecnologia,Europa,47.79
Tecnologia,Europa,62.09
Tecnologia,Europa,40.4
Tecnologia,Europa,46.72
Tecnologia,Europa,61.97
Tecnologia,Ásia,67.38
Tecnologia,Ásia,61.71
Tecnologia,Ásia,58.84
Tecnologia,Ásia,56.99
Tecnologia,Ásia,45.21
Tecnologia,Ásia,52.8
Tecnologia,Ásia,55.39
Tecnologia,Ásia,70.57
Tecnologia,Ásia,63.44
Tecnologia,Ásia,42.37
Tecnologia,Ásia,63.24
Tecnologia,Ásia,56.15
Tecnologia,Ásia,53.23
Tecnologia,Ásia,66.12
Tecnologia,Ásia,70.31
Tecnologia,Ásia,69.31
Tecnologia,Ásia,51.61
Tecnologia,Ásia,56.91
Tecnologia,Ásia,63.31
Tecnologia,Ásia,69.76
Tecnologia,América Latina,55.21
Tecnologia,América Latina,58.14
Tecnologia,América Latina,48.94
Tecnologia,América Latina,48.04
Tecnologia,América Latina,68.13
Tecnologia,América Latina,73.56
Tecnologia,América Latina,59.28
Tecnologia,América Latina,70.04
Tecnologia,América Latina,63.62
Tecnologia,América Latina,53.55
Tecnologia,América Latina,63.61
Tecnologia,América Latina,75.38
Tecnologia,América Latina,59.64
Tecnologia,América Latina,75.65
Tecnologia,América Latina,33.8
Tecnologia,América Latina,68.22
Tecnologia,América Latina,60.87
Tecnologia,América Latina,57.01
Tecnologia,América Latina,60.92
Tecnologia,América Latina,40.12
Tecnologia,África,57.8
Tecnologia,África,63.57
Tecnologia,África,74.78
Tecnologia,África,54.82
Tecnologia,África,51.92
Tecnologia,África,54.98
Tecnologia,África,69.15
Tecnologia,África,63.29
Tecnologia,África,54.7
Tecnologia,África,65.13
Tecnologia,África,60.97
Tecnologia,África,69.69
Tecnologia,África,52.98
Tecnologia,África,56.72
Tecnologia,África,56.08
Tecnologia,África,45.36
Tecnologia,África,62.96
Tecnologia,África,62.61
Tecnologia,África,60.05
Tecnologia,África,57.65
Saúde,América do Norte,35.85
Saúde,América do Norte,45.79
Saúde,América do Norte,46.57
Saúde,América do Norte,41.98
Saúde,América do Norte,48.39
Saúde,América do Norte,54.04
Saúde,América do Norte,68.86
Saúde,América do Norte,51.75
Saúde,América do Norte,52.58
Saúde,América do Norte,49.26
Saúde,América do Norte,30.81
Saúde,América do Norte,49.73
Saúde,América do Norte,50.6
Saúde,América do Norte,74.63
Saúde,América do Norte,48.08
Saúde,América do Norte,53.02
Saúde,América do Norte,49.65
Saúde,América do Norte,38.31
Saúde,América do Norte,61.43
Saúde,América do Norte,57.52
Saúde,Europa,57.91
Saúde,Europa,40.91
Saúde,Europa,64.03
Saúde,Europa,35.98
Saúde,Europa,55.87
Saúde,Europa,71.9
Saúde,Europa,40.09
Saúde,Europa,44.34
Saúde,Europa,51.0
Saúde,Europa,44.97
Saúde,Europa,34.49
Saúde,Europa,50.69
Saúde,Europa,39.38
Saúde,Europa,54.74
Saúde,Europa,40.81
Saúde,Europa,65.5
Saúde,Europa,42.17
Saúde,Europa,46.78
Saúde,Europa,58.14
Saúde,Europa,37.69
Saúde,Ásia,52.27
Saúde,Ásia,63.07
Saúde,Ásia,33.93
Saúde,Ásia,51.85
Saúde,Ásia,52.6
Saúde,Ásia,57.82
Saúde,Ásia,37.63
Saúde,Ásia,36.8
Saúde,Ásia,55.22
Saúde,Ásia,52.97
Saúde,Ásia,52.5
Saúde,Ásia,53.46
Saúde,Ásia,43.2
Saúde,Ásia,52.32
Saúde,Ásia,52.93
Saúde,Ásia,42.86
Saúde,Ásia,68.66
Saúde,Ásia,54.74
Saúde,Ásia,38.09
Saúde,Ásia,56.57
Saúde,América Latina,40.25
Saúde,América Latina,57.87
Saúde,América Latina,61.59
Saúde,América Latina,41.79
Saúde,América Latina,59.63
Saúde,América Latina,54.13
Saúde,América Latina,58.22
Saúde,América Latina,68.97
Saúde,América Latina,47.55
Saúde,América Latina,42.46
Saúde,América Latina,41.1
Saúde,América Latina,41.84
Saúde,América Latina,49.23
Saúde,América Latina,53.41
Saúde,América Latina,52.77
Saúde,América Latina,58.27
Saúde,América Latina,50.13
Saúde,América Latina,64.54
Saúde,América Latina,47.35
Saúde,América Latina,77.2
Saúde,África,56.26
Saúde,África,41.43
Saúde,África,39.29
Saúde,África,54.82
Saúde,África,47.77
Saúde,África,57.14
Saúde,África,54.73
Saúde,África,49.27
Saúde,África,41.53
Saúde,África,34.85
Saúde,África,45.53
Saúde,África,58.56
Saúde,África,52.14
Saúde,África,37.54
Saúde,África,51.73
Saúde,África,53.85
Saúde,África,41.16
Saúde,África,51.54
Saúde,África,50.58
Saúde,África,38.57
Indústria,América do Norte,43.58
Indústria,América do Norte,45.61
Indústria,América do Norte,50.83
Indústria,América do Norte,50.54
Indústria,América do Norte,26.22
Indústria,América do Norte,30.62
Indústria,América do Norte,45.15
Indústria,América do Norte,45.14
Indústria,América do Norte,45.15
Indústria,América do Norte,78.53
Indústria,América do Norte,45.71
Indústria,América do Norte,51.36
Indústria,América do Norte,49.54
Indústria,América do Norte,46.51
Indústria,América do Norte,36.85
Indústria,América do Norte,47.59
Indústria,América do Norte,32.27
Indústria,América do Norte,37.63
Indústria,América do Norte,35.15
Indústria,América do Norte,40.82
Indústria,Europa,63.15
Indústria,Europa,21.33
Indústria,Europa,46.86
Indústria,Europa,23.87
Indústria,Europa,35.28
Indústria,Europa,50.89
Indústria,Europa,40.64
Indústria,Europa,29.22
Indústria,Europa,32.85
Indústria,Europa,46.8
Indústria,Europa,32.7
Indústria,Europa,42.16
Indústria,Europa,40.46
